Country,FirstPeakHeight,Maximum,DayOfFirstPeak,DayOfMaximum,DayOfFirstCase,TotalCases,MaxOverTotal,DaysFromFirstCaseToFirstPeak,DaysFromFirstCaseToMax,SecondPeak
Singapore,-0.09827325,-0.106319694,-0.530027507,-0.704587948,-2.186998917,-0.057797663,-0.715295354,0.636021572,0.414045203,0
Slovakia,-0.305496071,-0.302873605,-0.642981588,-0.814002695,0.132426012,-0.243631491,-0.118020515,-0.736774216,-0.90202705,0
Slovenia,-0.312445616,-0.309465352,-1.207751993,-1.361076434,0.078485897,-0.2440113,-0.522647739,-1.291734215,-1.434056259,1
Somalia,-0.308181122,-0.305420416,0.543036263,0.334852157,0.671827158,-0.238175647,-0.703127864,0.197895257,-0.005977856,0
South Africa,0.815276134,0.76019541,1.390191871,1.155462765,0.078485897,0.337891794,-0.353012225,1.395440519,1.142085173,0
South Sudan,-0.272485728,-0.271562806,0.825421466,0.608389026,1.750629451,-0.242358014,1.507911715,-0.094188953,-0.285993229,0
Spain,1.197501153,1.122741494,-1.264229034,-1.415783808,-1.701537886,0.905706209,-0.644851326,-0.386273163,-0.566008602,0
Sri Lanka,-0.313235337,-0.297480357,-0.332357865,0.30749847,-1.971238459,-0.241951395,-0.034934394,0.723646836,1.338095934,1
Sudan,-0.258744581,-0.258529125,0.345366621,0.143376348,0.510006814,-0.2096721,-0.526623276,0.081061573,-0.117984005,0
Suriname,-0.311182063,-0.308266852,1.390191871,1.155462765,0.563946929,-0.248948817,1.519585112,1.13256473,0.890071337,0
Sweden,0.026186797,0.011732502,0.712467385,0.498974278,-1.755478,0.040018787,-0.698360703,1.687524729,1.422100546,0
Switzerland,-0.114857394,-0.12205,-1.320706074,-1.470491182,-0.406975135,-0.110037036,-0.567092947,-1.14569211,-1.294048572,0
Syria,-0.320342827,-0.316955973,0.458320703,0.252791096,0.995467846,-0.249891636,0.037462599,-0.064980532,-0.257991692,0
Taiwan*,-0.319237218,-0.315907286,-1.405421635,-1.552552243,-2.133058803,-0.249042652,-0.255747063,-0.2986479,-0.48200399,0
Tajikistan,-0.290175481,-0.288341799,0.1759355,-0.020745774,3.099132317,-0.225123623,-0.65841967,-1.496193162,-1.63006702,0
Tanzania,-0.294913808,-0.292836172,-0.275880824,-0.458404765,0.671827158,-0.248761146,4.663530811,-0.649148953,-0.818022438,0
Thailand,-0.293808198,-0.291787485,-1.348944595,-1.497844869,-2.186998917,-0.236915575,-0.273160135,-0.211022637,-0.397999379,0
Togo,-0.317973664,-0.314708787,0.20417402,0.006607913,0.132426012,-0.248287502,-0.31622578,0.139478415,-0.061980931,0
Trinidad and Tobago,-0.317183943,-0.313959725,-1.377183115,-1.525198556,0.563946929,-0.250472521,4.02767663,-1.729860531,-1.854079318,0
Tunisia,-0.310550286,-0.307667602,-1.094797912,-1.251661686,0.024545783,-0.24581651,-0.094572172,-1.14569211,-1.294048572,1
Turkey,0.488015704,0.449784052,-0.784174189,-0.95077113,0.402126585,0.624236482,-0.82773518,-1.028858426,-1.182042423,0
