State,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020
Rhode Island,422,483,539,587,674,757,879,990,1156,1319,1239,1783,2020,1954,2445,2329,2447,2948,3041,2979,3363,3151,3176,3591,3448,3878,3910,3531,3436,3541,3531,3462,3448,3221,2953,2804,2766,2822,2852,2742,2653,2488,2325,2358,2364,2286,2229,2144,2016,1962,2082,2121,2122,2117,2049,1846,1776,1679,1699,1684,1463,1357,1255,1160,1154,1260,1231,1088,947,1007,872,828,871,835,728,622,652,723,772,627,646,581,475,512,586,659,547,497,448,392,427,476
South Carolina,909,1097,1256,1358,1493,1625,1690,1757,1643,1868,1984,1918,1766,1691,1636,1607,1699,1682,1831,1584,1379,1228,1441,1526,1517,1597,1567,1514,1487,1505,1649,1819,1728,1709,1687,1588,1438,1529,1632,1649,1558,1534,1438,1404,1432,1566,1725,1674,1575,1525,1522,1589,1711,1865,1907,1771,1755,1807,1846,2075,2219,2480,2510,2520,2319,2237,3037,2830,3498,3669,3834,3898,4293,4755,5540,6380,5925,6537,6270,6733,7380,7997,8220,8496,8617,9102,9644,10345,11383,11787,12036,12643
South Dakota,94,108,137,157,171,194,230,252,303,346,428,497,565,681,776,928,1023,1091,1149,1188,1149,1129,1128,1088,1052,979,901,833,771,738,764,770,730,675,628,574,568,662,832,1020,1068,1089,1075,1101,1124,1166,1179,1081,882,692,660,563,693,732,771,699,694,723,766,781,783,816,678,603,599,661,624,657,645,605,563,611,631,675,671,651,651,599,612,638,635,621,632,584,520,521,551,569,576,572,558,539
Tennessee,2087,2540,2399,2295,2406,2536,2484,2628,2643,2717,2500,2199,2495,2543,2505,2194,2364,2124,2226,2436,2347,2262,1886,2656,2901,3362,3501,3655,3463,3296,3497,4497,5267,4911,4843,4501,4271,4178,4389,4402,4250,3653,3450,3193,3128,3270,3325,3263,3570,3644,3427,3417,3283,3415,3412,3575,3632,3926,3668,3651,4154,3605,3172,4557,4722,4655,4769,4892,4814,4942,5009,5364,5774,4776,4716,5153,5340,5574,5621,5765,6442,6516,6762,6435,6754,6892,7030,7693,8058,7402,8280,9063
Texas,3227,3712,4311,4779,5338,5646,6106,6470,6985,8061,8296,8668,8608,8541,8439,8698,8833,8924,8927,8052,7646,7551,7644,8375,8636,8246,8091,7472,7653,7997,8976,9118,9596,9348,9141,9759,9961,10715,10889,11137,10531,10863,10515,11022,11697,11809,12524,12360,11931,12158,12415,12498,12107,11756,11381,10688,9778,10146,11218,10349,11002,11599,12054,12534,13016,14146,15318,15928,15013,15562,15533,16125,17065,17617,18038,17968,17663,19099,22291,24796,27186,28804,30286,32863,36017,39609,44347,46604,48195,48893,51312,53479
Utah,770,726,829,950,1088,1205,1206,1137,1128,1058,1215,1319,1217,1115,989,947,1005,1054,1069,1213,1110,1090,1142,1249,1365,1400,1440,1443,1428,1428,1459,1531,1540,1563,1535,1501,1472,1488,1574,1606,1579,1534,1447,1445,1432,1464,1473,1514,1465,1415,1459,1512,1625,1640,1643,1608,1552,1468,1537,1746,1823,1923,1942,1942,2105,2292,2632,3092,3145,3058,3026,3067,3253,3375,3484,3500,3356,3139,3278,3517,3866,4204,4210,4329,4319,4471,4766,5113,5284,5261,5239,5149
Vermont,244,269,263,294,336,354,359,364,370,372,386,390,389,359,291,247,231,204,198,185,137,107,96,77,75,84,77,76,59,49,50,61,63,72,75,64,57,61,57,59,61,47,41,32,30,26,26,24,21,23,17,24,25,25,24,29,33,31,34,31,33,31,31,34,34,64,60,75,89,100,107,114,127,131,135,101,101,85,67,60,60,52,49,44,39,57,63,67,70,67,64,61
Virginia,1092,1263,1452,1719,2011,2174,2271,2595,2755,3022,3260,3594,3568,3735,3775,3860,4011,4156,4408,4500,4481,4553,4992,5251,5412,5866,6081,6047,6286,6420,6857,7272,7472,7674,7899,7891,8015,8032,8003,8234,8234,8168,8062,8074,8320,8415,8698,8818,8798,8949,8827,9067,9150,9003,8431,9055,9659,9861,10261,10388,10703,10470,10448,10490,10661,10129,9190,9148,9280,8718,8127,7570,7249,6972,6964,6650,6354,5934,5094,4987,5055,5266,5347,5254,5125,5008,5060,5239,5472,5498,5396,5344
Washington,3639,3611,4168,4518,4656,4618,4834,4662,4811,4716,4687,4826,4220,3789,3552,3117,2746,2825,2500,2339,1995,1958,1987,2118,2178,2377,2464,2169,2066,2092,2213,2245,2407,2432,2485,2275,2384,2545,2546,2604,2564,2485,2327,2327,2311,2357,2383,2202,2223,2137,2080,1995,1935,1753,2055,2114,1893,1973,2153,2260,2378,2585,2712,2892,2656,2664,2812,3036,2965,2970,3005,2652,2802,3014,3054,3105,3165,3089,3055,3151,3247,3871,3901,3699,3848,4035,4209,4324,4620,4560,4652,4599
West Virginia,150,175,200,215,243,272,269,316,370,369,412,386,377,374,358,378,383,363,302,376,328,331,346,370,370,308,327,288,310,220,223,244,246,214,214,236,187,224,228,213,235,214,193,203,203,201,228,205,179,179,207,227,327,307,332,327,304,407,433,449,422,417,323,351,318,328,345,237,209,210,180,184,189,193,197,188,203,205,232,257,299,306,316,303,319,341,372,389,406,414,402,405
Wisconsin,1130,1175,1323,1531,1409,1592,1523,1523,1546,1656,1656,1657,1593,1416,1525,1401,1426,1475,1489,1460,1431,1412,1504,1624,1801,1966,2037,2028,2090,2174,2355,2689,2815,2912,2880,2879,2989,3134,3301,3419,3365,3104,2951,2938,3039,3119,3286,3328,3097,2946,3194,3467,3785,3975,4002,3899,3676,3919,4287,4822,4817,4518,4147,4040,4123,4308,4386,4109,3861,3331,3078,3190,3383,3329,3118,2866,2683,2627,2621,2838,2846,2946,2893,2822,2813,3005,3295,3549,3830,3867,3904,4120
Wyoming,86,104,124,133,143,144,140,134,135,136,130,131,120,113,95,90,86,89,88,83,78,182,177,178,191,204,206,215,227,232,242,123,132,133,123,113,129,115,108,108,103,103,96,102,105,112,110,119,122,123,125,132,128,125,137,127,109,106,110,115,111,102,107,99,77,78,83,79,71,69,72,77,99,115,135,139,146,150,167,184,203,199,188,203,204,222,247,279,278,273,277,308
