State,Total Cases,Day of First Case,First Peak Height,Day of First Peak,Days from First Case to First Peak,Averages Cases Since First Case,High School Completion,"Crime Rate (per 100,000)",Avg Teacher's Salary,Pupil/Teacher Ratio,Expenditure per Student,Population,Population Density,Median Household Income,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults Over 64,May 2020 Unemployment,SecondPeak
Pennsylvania,94403,42,2297,90,48,786.69,85,2245.8,63701,14.0,15691,12801989,285.7,64524,0.22,0.08,0.12,0.25,0.14,0.18,13.1,1
Rhode Island,16993,37,648,84,47,163.39,81,2392.8,64696,16.2,19676,1059361,1010.8,62266,0.20,0.09,0.13,0.26,0.15,0.17,16.3,0
South Carolina,44857,43,1854,162,119,390.06,80,3958.0,47198,14.4,10005,5148714,162.6,57444,0.23,0.09,0.11,0.25,0.14,0.18,12.5,0
South Dakota,7064,47,248,106,59,64.22,83,2190.4,40259,13.8,8989,884659,11.3,59463,0.26,0.09,0.11,0.24,0.14,0.16,9.4,0
Tennessee,51316,41,1156,97,56,458.18,87,3669.0,47742,14.7,9105,6829174,160.1,56060,0.24,0.09,0.12,0.26,0.13,0.16,11.3,1
Texas,194932,41,9308,159,118,1584.81,88,3425.3,50213,13.3,8962,28995881,104.9,59785,0.27,0.09,0.13,0.26,0.11,0.13,13.0,0
Utah,24952,43,676,154,111,213.26,84,3094.1,45654,22.1,7711,3205958,36.5,77067,0.31,0.11,0.13,0.24,0.10,0.11,8.5,0
Vermont,1251,44,72,71,27,11.58,88,1623.7,55958,10.4,23149,623989,67.7,70066,0.19,0.08,0.11,0.25,0.16,0.20,12.7,1
Virginia,65748,44,1615,123,79,557.19,85,2126.5,49826,11.8,10980,8535519,211.7,77151,0.24,0.09,0.12,0.26,0.13,0.16,9.4,0
Washington,35936,36,781,69,33,289.81,78,3991.3,53512,20.0,10055,7614893,107.8,79726,0.23,0.08,0.14,0.26,0.13,0.16,15.1,1
West Virginia,3266,54,125,124,70,31.71,85,2336.7,45887,15.5,12859,1792147,76.6,50573,0.21,0.08,0.11,0.25,0.15,0.20,12.9,1
Wisconsin,31577,46,738,162,116,267.60,89,2378.6,54648,16.0,11424,5822434,106.3,62629,0.23,0.09,0.11,0.26,0.14,0.17,12.0,1
Wyoming,1634,48,126,88,40,14.59,79,2160.2,57318,11.7,16127,578759,6.0,62539,0.24,0.08,0.12,0.24,0.14,0.17,8.8,0
